Kode_Obat,Nama_Obat,Tanggal_Pembelian,Jumlah_Beli,Harga_Pokok_Pembelian,Harga_Jual,Satuan
OBT001,Paracetamol 500mg,2023-01-15,1000,500,750,Tablet
OBT002,Amoxicillin 500mg,2023-02-10,500,2000,3000,Kapsul
OBT003,Omeprazole 20mg,2023-03-05,300,1500,2250,Kapsul
OBT004,Metformin 500mg,2023-04-20,800,800,1200,Tablet
OBT005,Salbutamol 4mg,2023-05-12,400,1000,1500,Tablet
OBT001,Paracetamol 500mg,2023-06-18,1200,550,800,Tablet
OBT002,Amoxicillin 500mg,2023-07-22,600,2100,3150,Kapsul
OBT003,Omeprazole 20mg,2023-08-30,350,1600,2400,Kapsul
OBT004,Metformin 500mg,2023-09-15,900,850,1275,Tablet
OBT005,Salbutamol 4mg,2023-10-25,450,1100,1650,Tablet
